163.125.249.69	8118	广东深圳	透明	HTTP	1小时	18-09-16 17:43	
123.53.59.50	9000	河南安阳	透明	HTTPS	7分钟	18-09-16 16:41	
125.89.52.80	9797	广东珠海	透明	HTTPS	2分钟	18-09-16 15:46	
112.95.207.176	9999	广东深圳	透明	HTTPS	20分钟	18-09-16 15:42	
112.95.207.205	9999	广东深圳	透明	HTTPS	1天	18-09-16 15:22	
163.125.19.86	9999	广东深圳	透明	HTTPS	1分钟	18-09-16 15:22	
112.95.207.203	9999	广东深圳	透明	HTTP	15小时	18-09-16 15:22	
163.125.71.15	8888	广东深圳	透明	HTTP	1分钟	18-09-16 15:15	
14.115.105.247	9797	广东珠海	透明	HTTP	44分钟	18-09-16 15:14	
61.170.192.42	9797	上海	透明	HTTPS	19分钟	18-09-16 15:03	
115.233.210.218	808	浙江杭州	透明	HTTPS	355天	18-09-16 14:50	
59.38.60.109	9797	广东珠海	透明	HTTPS	326天	18-09-16 14:31	
112.95.90.233	53281	广东深圳	透明	HTTPS	3天	18-09-16 13:46	
171.37.31.82	9797	广西南宁	透明	HTTPS	7分钟	18-09-16 13:40	
180.175.136.195	54584	上海	高匿	HTTP	17小时	18-09-23 10:55	
115.46.99.83	8123	广西南宁	高匿	HTTP	32天	18-09-23 10:50	
183.17.230.165	37736	广东深圳	高匿	HTTPS	5小时	18-09-23 10:50	
58.244.254.10	32955	吉林四平	高匿	HTTPS	3天	18-09-23 10:38	
101.224.12.250	39959	上海	高匿	HTTPS	4小时	18-09-23 10:33	
114.241.253.203	61153	北京	高匿	HTTPS	7小时	18-09-23 10:32	
113.235.12.55	50002	辽宁大连	高匿	HTTP	9小时	18-09-23 10:31	
122.115.78.240	38157	河南郑州	高匿	HTTP	8天	18-09-23 10:30	
221.203.138.112	46852	辽宁辽阳	高匿	HTTPS	3小时	18-09-23 10:28	
119.189.97.66	53447	山东聊城	高匿	HTTPS	9小时	18-09-23 10:24	
183.16.236.50	8123	广东深圳	高匿	HTTPS	1分钟	18-09-23 10:22	
27.46.21.90	8888	广东深圳	透明	HTTPS	1分钟	18-09-16 13:33	
27.46.21.82	8888	广东深圳	透明	HTTPS	4小时	18-09-16 13:33	
203.86.26.9	3128	广东深圳	透明	HTTPS	21天	18-09-16 13:30	
183.30.201.189	9797	广东惠州	透明	HTTP	1分钟	18-09-16 10:30	
61.155.112.229	37749	江苏南京	透明	HTTPS	4天	18-09-16 09:15	
14.20.235.89	808	广东深圳	透明	HTTPS	3天	18-09-16 09:00	
101.6.61.86	8123	北京	透明	HTTP	1分钟	18-09-16 08:15	
222.186.15.75	65309	江苏镇江	透明	HTTP	26天	18-09-16 06:04	
112.95.22.98	8888	广东深圳	透明	HTTPS	295天	18-09-16 06:02	
222.186.45.128	65309	江苏镇江	透明	HTTPS	158天	18-09-16 05:50	
115.159.221.219	8118	河南郑州	透明	HTTP	1分钟	18-09-16 04:30	
221.223.2.238	9000	北京	透明	HTTPS	3小时	18-09-16 04:14	
182.88.191.254	9797	广西南宁	透明	HTTPS	6小时	18-09-16 03:43	
175.148.70.42	1133	辽宁葫芦岛	高匿	HTTPS	1分钟	18-09-22 12:33	
171.37.159.170	8123	广西	高匿	HTTPS	8分钟	18-09-22 12:30	
144.0.53.143	8118	山东	高匿	HTTP	6小时	18-09-22 12:21	
58.49.15.94	41821	湖北武汉	高匿	HTTP	3天	18-09-22 12:11	
121.31.142.234	8123	广西北海	高匿	HTTPS	1分钟	18-09-22 11:46	
183.129.153.122	36839	浙江杭州	高匿	HTTPS	2天	18-09-22 11:41	
125.115.180.66	3128	浙江宁波	高匿	HTTPS	1分钟	18-09-22 11:33	
183.145.169.120	80	浙江绍兴	高匿	HTTPS	5小时	18-09-22 11:15	
115.151.3.66	53128	江西宜春	高匿	HTTPS	50天	18-09-22 11:11	
219.136.252.124	53281	广东广州	高匿	HTTP	64天	18-09-22 11:07	
171.38.76.2	8123	广西玉林	高匿	HTTP	1054天	18-09-22 11:00	
58.48.169.134	32231	湖北武汉	高匿	HTTPS	20天	18-09-22 10:55	
182.88.162.63	8123	广西南宁	高匿	HTTP	575天	18-09-22 10:45	
111.200.88.109	8123	北京	高匿	HTTP	1分钟	18-09-22 10:30	
180.96.63.186	9087	江苏南京	高匿	HTTPS	15天	18-09-23 10:16	
42.59.85.255	1133	辽宁	高匿	HTTP	1分钟	18-09-23 10:15	
124.235.135.74	80	吉林长春	高匿	HTTPS	27天	18-09-23 10:11	
115.46.75.227	8123	广西南宁	高匿	HTTPS	5分钟	18-09-23 10:01	
180.154.160.230	50476	上海	高匿	HTTP	1分钟	18-09-23 10:00	
58.252.2.10	60964	广东东莞	高匿	HTTPS	4小时	18-09-23 10:00	
58.240.232.126	57505	江苏苏州	高匿	HTTPS	2天	18-09-23 09:58	
115.205.84.69	31060	浙江杭州	高匿	HTTPS	6小时	18-09-23 09:55	
110.184.163.143	59459	四川成都	高匿	HTTPS	5小时	18-09-23 09:53	
116.235.147.1	37873	上海	高匿	HTTPS	3小时	18-09-23 09:47	
182.138.151.55	38068	四川乐山	高匿	HTTPS	5天	18-09-23 09:34	
115.209.116.118	3128	浙江舟山	高匿	HTTP	19小时	18-09-23 09:33	
123.207.30.131	80		高匿	HTTPS	227天	18-09-23 09:33	
59.32.37.213	61234	广东河源	高匿	HTTPS	195天	18-09-23 09:33	
218.3.217.82	54266	江苏徐州	高匿	HTTP	1分钟	18-09-23 08:45	
123.133.36.26	36017	山东潍坊	高匿	HTTPS	7分钟	18-09-23 08:41	
113.122.186.193	49765	山东日照	高匿	HTTP	5小时	18-09-23 08:39	
180.110.5.197	3128	江苏南京	高匿	HTTPS	49分钟	18-09-23 08:34	
61.183.152.82	53281	湖北武汉	高匿	HTTPS	402天	18-09-23 08:33	
124.78.81.141	61475	上海	高匿	HTTPS	1小时	18-09-23 08:31	
